Bus,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,5.137866599,4.76995538,4.698677744,4.12316438,4.389204132,4.266748059,6.267847372,6.196213328,8.412747025,7.357719231,6.007513708,4.042634793,6.082810313,4.518188258,8.071115972,6.361093146,4.976147293,5.886248301,8.161472483,7.163617732,3.860351112,4.877568575,4.784700102,6.147129568
1,3.930971006,3.400706566,3.648716735,3.65498975,3.191539561,3.125530452,4.000739197,4.552301478,4.776881208,5.409640545,5.379313478,4.927265668,4.034162532,5.070834882,4.672180328,4.595707387,5.348598209,6.067191459,5.375955408,5.099290227,4.053091874,5.108513513,3.596648157,3.686203329
2,13.75933896,5.841617495,7.249244905,8.237396355,6.885771946,9.029717476,7.658090394,13.84074529,14.72378881,13.37900593,12.91655593,16.30698942,18.50125357,15.08332475,18.11686371,11.76802449,11.40821195,17.09467997,19.27795556,14.87125339,13.93016676,14.87668295,7.367305187,7.857982367
3,3.50415562,4.10256861,3.587901221,3.724515103,3.728235087,4.539692472,5.012659293,5.923004701,4.778211922,6.58581242,4.866792851,3.975772983,5.357999808,7.013381688,5.294431449,5.598172783,4.653725099,5.403879534,7.19212709,5.265739051,4.83236355,5.260889024,5.81850709,3.15685531
4,2.350747508,2.52110159,1.685335215,1.715043923,2.285857364,1.677222896,3.048914556,2.59852638,3.213998623,3.261263006,2.796863727,2.903800469,2.952582458,2.629167076,2.939783998,3.214604055,3.153144321,2.48501146,3.502698766,3.631837383,3.246125536,3.101132014,2.211288134,2.84717534
5,4.746649346,6.130398489,7.312188281,4.302597615,4.996009088,5.580646918,5.69191049,7.38952959,7.128583063,8.424003748,9.524164067,6.324157975,9.863521736,6.755935373,6.897087588,8.097581587,6.574836541,10.79914881,8.71040261,8.775552606,10.00977749,6.675758645,5.291955088,4.75792774
6,4.847798066,4.163427613,7.077484027,3.404642512,4.079453001,5.877655806,5.177538869,6.925747553,5.28069159,7.18759079,8.677166165,7.772918926,9.269643161,8.239340195,11.34918056,7.151656819,8.370302286,9.81509913,9.280274603,6.525071657,9.82343809,6.98696061,6.260802531,3.345292296
7,5.179862788,5.878520388,6.566315431,4.748597097,4.030545813,4.691806875,6.001315234,7.940726837,5.850214568,8.914800841,7.175860615,8.583309086,8.368849228,10.03178282,8.129497066,7.902980783,7.965485919,9.430361318,8.300947592,6.306249664,5.664414861,7.325457184,6.558563016,5.250453607
8,6.427712823,6.437313009,5.735690822,6.293854241,5.898174135,7.320479332,10.08617298,7.291784784,10.82338358,11.51864323,9.964653928,6.612312889,14.09729598,8.769469399,11.66611219,8.348536005,10.81121464,8.818219869,10.47461719,10.02985189,10.40306764,10.09657579,8.374813479,7.499266303
9,8.153805474,10.67144814,7.864954723,9.332138609,8.171132226,7.049549288,12.87476534,13.48424607,11.23430912,11.87421094,11.77177879,13.96797313,12.14605417,11.8829408,16.22312244,11.63506931,15.22017206,14.17253694,12.46042821,14.44782026,12.20532258,13.9697596,10.83965818,8.575693535
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,14.71699454,14.81208519,12.8002324,12.86035143,13.63415834,12.84544996,16.49034563,18.67245174,19.6595268,19.92531812,20.70395891,20.22570216,19.62856368,20.65999507,20.25930317,20.09845799,21.34503059,20.73070617,21.54690858,22.14164884,19.3727231,18.55333859,15.98612658,14.3987669
13,6.724419907,8.684731192,10.3589334,6.095346621,7.077679542,7.905916468,8.06353986,10.46850025,10.09882601,11.93400531,13.49256576,8.959223799,13.97332246,9.570908445,9.770874083,11.47157391,9.314351766,15.29879415,12.33973703,12.43203286,14.18051812,9.457324748,7.496936374,6.740397631
14,12.22967239,10.50319239,17.85456198,8.588984519,10.29134734,14.8277226,13.06151851,17.47177224,13.32174469,18.13233131,21.89012373,19.60895456,23.38478161,20.78560822,28.63088733,18.0416797,21.11598986,24.76081826,23.41160184,16.46097623,24.78185518,17.62619608,15.79429729,8.43926011
15,3.291046511,3.529542226,2.359469301,2.401061492,3.200200309,2.348112054,4.268480379,3.637936932,4.499598072,4.565768208,3.915609218,4.065320657,4.133615441,3.680833907,4.115697597,4.500445677,4.41440205,3.479016045,4.903778272,5.084572337,4.544575751,4.341584819,3.095803387,3.986045477
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,11.56995778,14.94284632,17.82345893,10.48758169,12.17777215,13.60282686,13.87403182,18.01197838,17.37592122,20.53350914,23.21514991,15.41513507,24.04233423,16.46759247,16.811651,19.73785512,16.02616407,26.32292523,21.23160636,21.39040948,24.39883264,16.2721617,12.89914053,11.59744887
18,7.051342642,6.05589471,10.29452222,4.952207291,5.933749819,8.549317535,7.530965628,10.07381462,7.681005949,10.45467751,12.6213326,11.30606389,13.48311732,11.98449483,16.507899,10.40240992,12.17498514,14.27650783,13.49858124,9.491013319,14.28863722,10.1628518,9.106621864,4.865879703
19,4.231345514,4.537982862,3.033603387,3.087079062,4.114543255,3.019001212,5.488046202,4.677347484,5.785197521,5.87027341,5.034354709,5.226840845,5.314648424,4.732500737,5.291611196,5.786287299,5.675659778,4.473020629,6.304857778,6.53730729,5.843025966,5.582037625,3.980318641,5.124915613
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
